Root,Expertise,MappedExpertise,Actors,
 ,Equity and Social Justice,Community partnerships,Tamar Fuhrmann,
 ,Equity and Social Justice,Ethics,Tamar Fuhrmann,
 ,AI Approaches and Technologies,Machine learning,Carl Vondrick,
 ,AI Approaches and Technologies,Computer vision technologies,Carl Vondrick,
 ,Analytics,Learning analytics,Nigel Bosch,
 ,AI Approaches and Technologies,Bias and equity in AI,Nigel Bosch,
 ,Research Methods,HCI,Nigel Bosch,
 ,Analytics,Multimodal data analysis,Leslie Neely,
 ,Capacity Building,Workforce development,Leslie Neely,
 ,Equity and Social Justice,Inclusive/universal design,Leslie Neely,
 ,Other Domains,Software engineering,Sergiu Dascalu,
 ,Learning Environments and Platforms,Narrative and simulated environments,Sergiu Dascalu,
 ,Learning Processes and Theories,Neuroscience,Sergiu Dascalu,
 ,Research Methods,HCI,Sergiu Dascalu,
 ,Analytics,Data mining,Sergiu Dascalu,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Sergiu Dascalu,
 ,Analytics,Data visualization representations and dashboards,Sergiu Dascalu,
 ,Disciplinary Areas,Science education,Danielle Oprean,
 ,Analytics,Data mining,Danielle Oprean,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Danielle Oprean,
 ,Learning Environments and Platforms,Games and game making,Danielle Oprean,
 ,Analytics,Learning analytics,Xiaojin Zhu,
 ,AI Approaches and Technologies,Machine learning,Xiaojin Zhu,
 ,Equity and Social Justice,Social welfare development and responsibility,Xiaojin Zhu,
 ,Analytics,Behavior analysis,Xiaojin Zhu,
 ,Learning Environments and Platforms,Wearable / physiological technology,Rebecca Vieyra,
 ,Capacity Building,Educator professional learning,Rebecca Vieyra,
 ,Other Domains,Software engineering,Chrystian Vieyra,
 ,Other Domains,Environmental Science,Daniel O'Brien,
 ,Disciplinary Areas,Science education,Daniel O'Brien,
 ,Disciplinary Areas,Engineering education,Daniel O'Brien,
 ,Other Domains,Energy,Daniel O'Brien,
 ,Capacity Building,Policy,Daniel O'Brien,
 ,Capacity Building,Educator professional learning,Kangwon Seo,
 ,AI Approaches and Technologies,Machine learning,Kangwon Seo,
 ,Analytics,Learning analytics,Kangwon Seo,
 ,Analytics,Multimodal data analysis,Kangwon Seo,
 ,Other Domains,Software engineering,Kangwon Seo,
 ,AI Approaches and Technologies,Bias and equity in AI,Kangwon Seo,
 ,Analytics,Learning analytics,Leping Liu,
 ,Equity and Social Justice,Mental health,Leping Liu,
 ,Capacity Building,Instructional Design,Leping Liu,
 ,Analytics,Learning analytics,Li-Ting Chen,
 ,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Li-Ting Chen,
 ,Learning Environments and Platforms,Online learning,Li-Ting Chen,
 ,Other Domains,Health,Li-Ting Chen,
 ,Disciplinary Areas,Engineering education,Ying Yang,
 ,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Kathy Ewoldt,
 ,Equity and Social Justice,Inclusive/universal design,Kathy Ewoldt,
 ,Disciplinary Areas,ELA education,Kathy Ewoldt,
 ,Equity and Social Justice,Accessibility and technology,Kathy Ewoldt,
 ,Research Methods,Quantitative methods,Amanda Olsen,
 ,Analytics,Learning analytics,Jiebo Luo,
 ,AI Approaches and Technologies,Machine learning,Jiebo Luo,
 ,AI Approaches and Technologies,AI,Jiebo Luo,
 ,Analytics,Data mining,Jiebo Luo,
 ,Learning Processes and Theories,Media use,Jiebo Luo,
 ,Disciplinary Areas,Science education,Michael Daley,
 ,Disciplinary Areas,Math education,Michael Daley,
 ,Disciplinary Areas,Engineering education,Michael Daley,
 ,Research Methods,Human-AI Interaction,Byron Lahey,
 ,Learning Processes and Theories,Embodied learning and cognition,Byron Lahey,
 ,Research Methods,HCI,Byron Lahey,
 ,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Christy Spackman,
 ,Other Domains,Physiological sciences,Christy Spackman,
 ,Equity and Social Justice,Broadening participation of historically marginalized groups,Christy Spackman,
 ,Capacity Building,Instructional Design,Philip Yasskin,
 ,Equity and Social Justice,Cultural competence/responsiveness,Philip Yasskin,
 ,Other Domains,Physics,Philip Yasskin,
 ,AI Approaches and Technologies,Pedagogical agents,Philip Yasskin,
 ,Disciplinary Areas,Science education,Philip Yasskin,
 ,Disciplinary Areas,Math education,Philip Yasskin,
 ,Disciplinary Areas,Engineering education,Philip Yasskin,
 ,Other Domains,Mathematical sciences,Philip Yasskin,
 ,AI Approaches and Technologies,Machine learning,Dezhen Song,
 ,AI Approaches and Technologies,Computer vision technologies,Dezhen Song,
 ,AI Approaches and Technologies,Robots,Dezhen Song,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Heather Burte,
 ,Disciplinary Areas,Science education,Heather Burte,
 ,Disciplinary Areas,Math education,Heather Burte,
 ,Disciplinary Areas,Engineering education,Heather Burte,
 ,Capacity Building,Educator professional learning,Chelsea Lyles,
 ,Capacity Building,Policy,Chelsea Lyles,
 ,Learning Environments and Platforms,Informal settings,Phyllis Newbill,
 ,Other Domains,Autonomous technology,Myounghoon Jeon,
 ,Equity and Social Justice,Accessibility and technology,Myounghoon Jeon,
 ,Analytics,Multimodal data analysis,Myounghoon Jeon,
 ,Learning Processes and Theories,Creativity,Myounghoon Jeon,
 ,Other Domains,Physiological sciences,Myounghoon Jeon,
 ,Research Methods,Human-AI Interaction,Myounghoon Jeon,
 ,Learning Environments and Platforms,Interactive Displays,Myounghoon Jeon,
 ,Research Methods,Survey measure,Jeff Rosen,
 ,Equity and Social Justice,Inclusive/universal design,Jeff Rosen,
 ,Learning Processes and Theories,Social emotional learning,Jeff Rosen,
 ,Analytics,Graphics,Roxanne Moore,
 ,Analytics,Data mining,Ken Koedinger,
 ,AI Approaches and Technologies,AI,Ken Koedinger,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Ken Koedinger,
 ,Research Methods,Learning Engineering,Ken Koedinger,
